stim_type	state_marker	cell_population	adj_p_val
GMCSF	pH3	Plasmacytoid DC	1.18E-02
IL3	pH3	Plasmacytoid DC	1.71E-02
TNFa	pH3	Plasmacytoid DC	7.97E-03
PMAiono	pH3	Plasmacytoid DC	8.50E-04
PVO4	pP38	Plasmacytoid DC	2.13E-02
IL3	pS6	Plasmacytoid DC	2.85E-02
PMAiono	pS6	Plasmacytoid DC	4.11E-03
PVO4	pSLP_76	Plasmacytoid DC	9.64E-03
PVO4	pSrcFK	Plasmacytoid DC	1.59E-02
IL3	pSrcFK	Plasmacytoid DC	3.42E-02
IFNad	pSTAT3	Plasmacytoid DC	1.09E-02
IL3	pSTAT3	Plasmacytoid DC	3.48E-02
PVO4	pSTAT5	Plasmacytoid DC	1.56E-02
IL3	pSTAT5	Plasmacytoid DC	2.38E-03
GMCSF	pSTAT5	Plasmacytoid DC	3.80E-03
GCSF	pCrkL	Platelet	3.95E-02
GCSF	pPLCgamma2	Platelet	1.18E-02
PVO4	pPLCgamma2	Platelet	6.56E-04
TNFa	IkBalpha	Pre-B I	3.27E-02
TNFa	pCREB	Pre-B I	2.59E-02
PVO4	pCREB	Pre-B I	3.59E-03
PMAiono	pCREB	Pre-B I	6.60E-03
PVO4	pCrkL	Pre-B I	3.43E-03
PVO4	pERK1_2	Pre-B I	3.41E-02
PVO4	pNFkB	Pre-B I	4.69E-02
PVO4	pP38	Pre-B I	1.51E-03
PVO4	pPLCgamma2	Pre-B I	6.88E-04
PVO4	pS6	Pre-B I	1.15E-02
PMAiono	pS6	Pre-B I	2.08E-03
PVO4	pSHP2	Pre-B I	2.50E-03
PVO4	pSLP_76	Pre-B I	4.20E-04
PVO4	pSrcFK	Pre-B I	2.83E-02
PVO4	pSTAT5	Pre-B I	2.38E-02
IFNad	pSTAT5	Pre-B I	4.97E-03
PMAiono	pCREB	Pre-B II	3.98E-02
PVO4	pCrkL	Pre-B II	5.47E-03
PVO4	pP38	Pre-B II	8.99E-03
PVO4	pPLCgamma2	Pre-B II	1.54E-02
PMAiono	pS6	Pre-B II	4.52E-03
PVO4	pSLP_76	Pre-B II	1.98E-03
IFNad	pSrcFK	Pre-B II	3.13E-02
PVO4	pSrcFK	Pre-B II	3.20E-04
SCF	pSrcFK	Pre-B II	9.55E-03
PVO4	pSTAT3	Pre-B II	1.20E-02
IFNad	pSTAT3	Pre-B II	1.79E-02
